feature,importance
http.request.version,0.28092953664909626
tcp.flags,0.13521923038403094
tcp.ack,0.11321526518485832
tcp.seq,0.0883649423768525
tcp.checksum,0.07455640494260504
tcp.ack_raw,0.05774502897025635
tcp.len,0.054431152022973446
mqtt.hdrflags,0.038881293869771794
tcp.connection.rst,0.027392835278289313
mqtt.msgtype,0.024660861320156525
tcp.flags.ack,0.019752449730889177
icmp.seq_le,0.017769815913091264
mqtt.len,0.013932459451517205
tcp.connection.syn,0.012498426792087574
http.content_length,0.0109754362985867
udp.stream,0.010633956720524538
icmp.checksum,0.00684671259609162
tcp.connection.fin,0.0028874571172553876
http.response,0.0019784605291489512
tcp.connection.synack,0.0018524039133455128
udp.time_delta,0.0013097176797454704
dns.retransmission,0.0012511240311548967
mqtt.proto_len,0.0011219628334084124
dns.qry.qu,0.0004792106896952819
mqtt.ver,0.00044698720193999113
mqtt.topic_len,0.0003681031050092292
mqtt.conflag.cleansess,0.0001808399523731383
dns.qry.name,0.0001474265793388314
mqtt.conflags,7.163106027778196e-05
arp.hw.size,5.01321632585371e-05
arp.opcode,4.8734642370107e-05
dns.retransmit_request_in,0.0
dns.retransmit_request,0.0
dns.qry.type,0.0
http.tls_port,0.0
icmp.unused,0.0
mbtcp.len,0.0
mbtcp.trans_id,0.0
mbtcp.unit_id,0.0
